Tank_Number,Cycle_Number,Collected,Reef,Temperature,Ramp_Started_Day_1,Colony_Number,Day,Score,Scorer_1,Scorer_2,Scorer_3,Notes,Notes2
5,5,7/25/18,19,35,,92,0,V,KCH,BHC,,,
5,5,7/25/18,19,35,,92,1,M,KCH,BAS,,,
5,5,7/25/18,19,35,,92,2,S,CAH,BAS,,,
1,5,7/25/18,19,30,,93,0,V,KCH,BHC,,,
1,5,7/25/18,19,30,,93,1,V,KCH,BAS,,,
1,5,7/25/18,19,30,,93,2,M,CAH,BAS,,,
2,5,7/25/18,19,30,,93,0,M,KCH,BHC,,,
2,5,7/25/18,19,30,,93,1,V,KCH,BAS,,,
2,5,7/25/18,19,30,,93,2,M,CAH,BAS,,,
3,5,7/25/18,19,34,,93,0,N,KCH,BHC,,,
3,5,7/25/18,19,34,,93,1,V,KCH,BAS,,,
3,5,7/25/18,19,34,,93,2,V,CAH,BAS,,,
4,5,7/25/18,19,34.5,,93,0,V,KCH,BHC,,,
4,5,7/25/18,19,34.5,,93,1,S,KCH,BAS,,,
4,5,7/25/18,19,34.5,,93,2,T,CAH,BAS,,,
5,5,7/25/18,19,35,,93,0,M,KCH,BHC,,,
5,5,7/25/18,19,35,,93,1,S,KCH,BAS,,,
5,5,7/25/18,19,35,,93,2,T,CAH,BAS,,,
1,5,7/25/18,19,30,,94,0,V,KCH,BHC,,,
1,5,7/25/18,19,30,,94,1,V,KCH,BAS,,,
1,5,7/25/18,19,30,,94,2,V,CAH,BAS,,,
2,5,7/25/18,19,30,,94,0,N,KCH,BHC,,,
2,5,7/25/18,19,30,,94,1,N,KCH,BAS,,,
2,5,7/25/18,19,30,,94,2,V,CAH,BAS,,,
3,5,7/25/18,19,34,,94,0,N,KCH,BHC,,,
3,5,7/25/18,19,34,,94,1,V,KCH,BAS,,,
3,5,7/25/18,19,34,,94,2,V,CAH,BAS,,,
4,5,7/25/18,19,34.5,,94,0,V,KCH,BHC,,,
4,5,7/25/18,19,34.5,,94,1,S,KCH,BAS,,,
4,5,7/25/18,19,34.5,,94,2,T,CAH,BAS,,,
5,5,7/25/18,19,35,,94,0,V,KCH,BHC,,,
5,5,7/25/18,19,35,,94,1,S,KCH,BAS,,,
5,5,7/25/18,19,35,,94,2,T,CAH,BAS,,,
1,5,7/25/18,19,30,,95,0,N,KCH,BHC,,,
1,5,7/25/18,19,30,,95,1,N,KCH,BAS,,,
1,5,7/25/18,19,30,,95,2,V,CAH,BAS,,,
2,5,7/25/18,19,30,,95,0,V,KCH,BHC,,,
2,5,7/25/18,19,30,,95,1,V,KCH,BAS,,,
2,5,7/25/18,19,30,,95,2,V,CAH,BAS,,,
3,5,7/25/18,19,34,,95,0,N,KCH,BHC,,,
3,5,7/25/18,19,34,,95,1,V,KCH,BAS,,,
3,5,7/25/18,19,34,,95,2,V,CAH,BAS,,,
4,5,7/25/18,19,34.5,,95,0,V,KCH,BHC,,,
4,5,7/25/18,19,34.5,,95,1,S,KCH,BAS,,,
4,5,7/25/18,19,34.5,,95,2,T,CAH,BAS,,,
5,5,7/25/18,19,35,,95,0,N,KCH,BHC,,,
5,5,7/25/18,19,35,,95,1,M,KCH,BAS,,,
5,5,7/25/18,19,35,,95,2,S,CAH,BAS,,,
6,5,7/25/18,19,30,,96,0,M,BAS,CH,,,
6,5,7/25/18,19,30,,96,1,S,KCH,BAS,,,
6,5,7/25/18,19,30,,96,2,S,CAH,BAS,,,
7,5,7/25/18,19,30,,96,0,V,BAS,CH,,,
7,5,7/25/18,19,30,,96,1,V,KCH,BAS,,,
7,5,7/25/18,19,30,,96,2,V,CAH,BAS,,,
8,5,7/25/18,19,34,,96,0,V/M,BAS,CH,,,
8,5,7/25/18,19,34,,96,1,S,KCH,BAS,,,
8,5,7/25/18,19,34,,96,2,T,CAH,BAS,,,
9,5,7/25/18,19,34.5,,96,0,M,BAS,CH,,,
9,5,7/25/18,19,34.5,,96,1,T,KCH,BAS,,,
9,5,7/25/18,19,34.5,,96,2,T,CAH,BAS,,,
10,5,7/25/18,19,35,,96,0,V,BAS,CH,,,
10,5,7/25/18,19,35,,96,1,T,KCH,BAS,,,
10,5,7/25/18,19,35,,96,2,T,CAH,BAS,,,
6,5,7/25/18,19,30,,97,0,N,BAS,CH,,,
6,5,7/25/18,19,30,,97,1,N,KCH,BAS,,,
6,5,7/25/18,19,30,,97,2,N,CAH,BAS,,,
7,5,7/25/18,19,30,,97,0,N/V,BAS,CH,,,
7,5,7/25/18,19,30,,97,1,N,KCH,BAS,,,
7,5,7/25/18,19,30,,97,2,V,CAH,BAS,,,
8,5,7/25/18,19,34,,97,0,N,BAS,CH,,,
8,5,7/25/18,19,34,,97,1,N,KCH,BAS,,,
8,5,7/25/18,19,34,,97,2,V,CAH,BAS,,,
9,5,7/25/18,19,34.5,,97,0,N,BAS,CH,,,
9,5,7/25/18,19,34.5,,97,1,N,KCH,BAS,,,
9,5,7/25/18,19,34.5,,97,2,V,CAH,BAS,,,
10,5,7/25/18,19,35,,97,0,N,BAS,CH,,,
10,5,7/25/18,19,35,,97,1,T,KCH,BAS,,,
10,5,7/25/18,19,35,,97,2,T,CAH,BAS,,,
6,5,7/25/18,19,30,,98,0,N,BAS,CH,,,
6,5,7/25/18,19,30,,98,1,V,KCH,BAS,,,
6,5,7/25/18,19,30,,98,2,V,CAH,BAS,,,
7,5,7/25/18,19,30,,98,0,V,BAS,CH,,,
7,5,7/25/18,19,30,,98,1,V,KCH,BAS,,,
7,5,7/25/18,19,30,,98,2,M,CAH,BAS,,,
8,5,7/25/18,19,34,,98,0,N,BAS,CH,,,
8,5,7/25/18,19,34,,98,1,S,KCH,BAS,,,
8,5,7/25/18,19,34,,98,2,T,CAH,BAS,,,
9,5,7/25/18,19,34.5,,98,0,V,BAS,CH,,,
9,5,7/25/18,19,34.5,,98,1,T,KCH,BAS,,,
9,5,7/25/18,19,34.5,,98,2,T,CAH,BAS,,,
10,5,7/25/18,19,35,,98,0,V/N,BAS,CH,,,
10,5,7/25/18,19,35,,98,1,T,KCH,BAS,,,
10,5,7/25/18,19,35,,98,2,T,CAH,BAS,,,
6,5,7/25/18,19,30,,99,0,V,BAS,CH,,,
6,5,7/25/18,19,30,,99,1,V/N,KCH,BAS,,,
6,5,7/25/18,19,30,,99,2,V,CAH,BAS,,,
7,5,7/25/18,19,30,,99,0,N/V,BAS,CH,,,
7,5,7/25/18,19,30,,99,1,V,KCH,BAS,,,
7,5,7/25/18,19,30,,99,2,M,CAH,BAS,,,
8,5,7/25/18,19,34,,99,0,N/V,BAS,CH,,,
8,5,7/25/18,19,34,,99,1,V,KCH,BAS,,,
8,5,7/25/18,19,34,,99,2,M,CAH,BAS,,,
9,5,7/25/18,19,34.5,,99,0,N/V,BAS,CH,,,
9,5,7/25/18,19,34.5,,99,1,S,KCH,BAS,,,
9,5,7/25/18,19,34.5,,99,2,S,CAH,BAS,,,
10,5,7/25/18,19,35,,99,0,N,BAS,CH,,,
10,5,7/25/18,19,35,,99,1,T,KCH,BAS,,,
10,5,7/25/18,19,35,,99,2,T,CAH,BAS,,,
6,5,7/25/18,19,30,,100,0,N/V,BAS,CH,,,
6,5,7/25/18,19,30,,100,1,V,KCH,BAS,,,
6,5,7/25/18,19,30,,100,2,V,CAH,BAS,,,
7,5,7/25/18,19,30,,100,0,N,BAS,CH,,,
7,5,7/25/18,19,30,,100,1,V,KCH,BAS,,,
7,5,7/25/18,19,30,,100,2,M,CAH,BAS,,,
8,5,7/25/18,19,34,,100,0,N/V,BAS,CH,,,
8,5,7/25/18,19,34,,100,1,S,KCH,BAS,,,
8,5,7/25/18,19,34,,100,2,T,CAH,BAS,,,
9,5,7/25/18,19,34.5,,100,0,V,BAS,CH,,,
9,5,7/25/18,19,34.5,,100,1,T,KCH,BAS,,,
9,5,7/25/18,19,34.5,,100,2,T,CAH,BAS,,,
10,5,7/25/18,19,35,,100,0,V/N,BAS,CH,,,
10,5,7/25/18,19,35,,100,1,T,KCH,BAS,,,
10,5,7/25/18,19,35,,100,2,T,CAH,BAS,,,
1,7,7/27/18,30,30,,201,0,V,BAS,CAH,,,
1,7,7/27/18,30,30,,201,1,V,KCH,CYP,CMH,,
1,7,7/27/18,30,30,,201,2,V,KCH,BAS,,,
2,7,7/27/18,30,30,,201,0,V,BAS,CAH,,,
2,7,7/27/18,30,30,,201,1,V,KCH,CYP,CMH,,
2,7,7/27/18,30,30,,201,2,V,KCH,BAS,,,
3,7,7/27/18,30,34,,201,0,V,BAS,CAH,,,
3,7,7/27/18,30,34,,201,1,M,KCH,CYP,CMH,,
3,7,7/27/18,30,34,,201,2,S,KCH,BAS,,,
4,7,7/27/18,30,34.5,,201,0,M,BAS,CAH,,,
4,7,7/27/18,30,34.5,,201,1,T,KCH,CYP,CMH,,
4,7,7/27/18,30,34.5,,201,2,T,KCH,BAS,,,
5,7,7/27/18,30,35,,201,0,N,BAS,CAH,,,
5,7,7/27/18,30,35,,201,1,S,KCH,CYP,CMH,,
5,7,7/27/18,30,35,,201,2,T,KCH,BAS,,,
1,7,7/27/18,30,30,,202,0,N,BAS,CAH,,,
1,7,7/27/18,30,30,,202,1,M,KCH,CYP,CMH,,
1,7,7/27/18,30,30,,202,2,M,KCH,BAS,,,
2,7,7/27/18,30,30,,202,0,N,BAS,CAH,,,
2,7,7/27/18,30,30,,202,1,V,KCH,CYP,CMH,,
2,7,7/27/18,30,30,,202,2,V,KCH,BAS,,,
3,7,7/27/18,30,34,,202,0,N,BAS,CAH,,,
3,7,7/27/18,30,34,,202,1,M,KCH,CYP,CMH,,
3,7,7/27/18,30,34,,202,2,S,KCH,BAS,,,
4,7,7/27/18,30,34.5,,202,0,N,BAS,CAH,,,
4,7,7/27/18,30,34.5,,202,1,M,KCH,CYP,CMH,,
4,7,7/27/18,30,34.5,,202,2,S,KCH,BAS,,,
5,7,7/27/18,30,35,,202,0,N,BAS,CAH,,,
5,7,7/27/18,30,35,,202,1,T,KCH,CYP,CMH,,
5,7,7/27/18,30,35,,202,2,T,KCH,BAS,,,
1,7,7/27/18,30,30,,203,0,V,BAS,CAH,,,
1,7,7/27/18,30,30,,203,1,M,KCH,CYP,CMH,,
1,7,7/27/18,30,30,,203,2,M,KCH,BAS,,,
2,7,7/27/18,30,30,,203,0,V,BAS,CAH,,,
2,7,7/27/18,30,30,,203,1,M,KCH,CYP,CMH,,
2,7,7/27/18,30,30,,203,2,M,KCH,BAS,,,
3,7,7/27/18,30,34,,203,0,N,BAS,CAH,,,
3,7,7/27/18,30,34,,203,1,S,KCH,CYP,CMH,,
3,7,7/27/18,30,34,,203,2,T,KCH,BAS,,,
4,7,7/27/18,30,34.5,,203,0,M,BAS,CAH,,,
4,7,7/27/18,30,34.5,,203,1,T,KCH,CYP,CMH,,
4,7,7/27/18,30,34.5,,203,2,T,KCH,BAS,,,
5,7,7/27/18,30,35,,203,0,V,BAS,CAH,,,
5,7,7/27/18,30,35,,203,1,T,KCH,CYP,CMH,,
5,7,7/27/18,30,35,,203,2,T,KCH,BAS,,,
1,7,7/27/18,30,30,,204,0,V,BAS,CAH,,,
1,7,7/27/18,30,30,,204,1,V,KCH,CYP,CMH,,
1,7,7/27/18,30,30,,204,2,M,KCH,BAS,,,
2,7,7/27/18,30,30,,204,0,V,BAS,CAH,,,
2,7,7/27/18,30,30,,204,1,M,KCH,CYP,CMH,,
2,7,7/27/18,30,30,,204,2,M,KCH,BAS,,,
3,7,7/27/18,30,34,,204,0,V,BAS,CAH,,,
3,7,7/27/18,30,34,,204,1,M,KCH,CYP,CMH,,
3,7,7/27/18,30,34,,204,2,M,KCH,BAS,,,
4,7,7/27/18,30,34.5,,204,0,V,BAS,CAH,,,
4,7,7/27/18,30,34.5,,204,1,M,KCH,CYP,CMH,,
4,7,7/27/18,30,34.5,,204,2,S,KCH,BAS,,,
5,7,7/27/18,30,35,,204,0,N,BAS,CAH,,,
5,7,7/27/18,30,35,,204,1,S,KCH,CYP,CMH,,
5,7,7/27/18,30,35,,204,2,T,KCH,BAS,,,
1,7,7/27/18,30,30,,205,0,V,BAS,CAH,,,
1,7,7/27/18,30,30,,205,1,V,KCH,CYP,CMH,,
1,7,7/27/18,30,30,,205,2,V,KCH,BAS,,,
2,7,7/27/18,30,30,,205,0,N,BAS,CAH,,,
2,7,7/27/18,30,30,,205,1,V,KCH,CYP,CMH,,
2,7,7/27/18,30,30,,205,2,V,KCH,BAS,,,
3,7,7/27/18,30,34,,205,0,V,BAS,CAH,,,
3,7,7/27/18,30,34,,205,1,V,KCH,CYP,CMH,,
3,7,7/27/18,30,34,,205,2,S,KCH,BAS,,,
4,7,7/27/18,30,34.5,,205,0,N,BAS,CAH,,,
4,7,7/27/18,30,34.5,,205,1,V,KCH,CYP,CMH,,
4,7,7/27/18,30,34.5,,205,2,M,KCH,BAS,,,
5,7,7/27/18,30,35,,205,0,N,BAS,CAH,,,
5,7,7/27/18,30,35,,205,1,S,KCH,CYP,CMH,,
5,7,7/27/18,30,35,,205,2,T,KCH,BAS,,,
6,7,7/27/18,30,30,,206,0,V,KCH,NSW,,,
6,7,7/27/18,30,30,,206,1,N,NSW,BHC,,,
6,7,7/27/18,30,30,,206,2,V,KCH,BAS,,,
7,7,7/27/18,30,30,,206,0,N,KCH,NSW,,,
7,7,7/27/18,30,30,,206,1,N,NSW,BHC,,,
7,7,7/27/18,30,30,,206,2,N,KCH,BAS,,,
8,7,7/27/18,30,34,,206,0,V,KCH,NSW,,,
8,7,7/27/18,30,34,,206,1,V,NSW,BHC,,,
8,7,7/27/18,30,34,,206,2,S,KCH,BAS,,,
9,7,7/27/18,30,34.5,,206,0,N,KCH,NSW,,,
9,7,7/27/18,30,34.5,,206,1,V,NSW,BHC,,,
9,7,7/27/18,30,34.5,,206,2,V,KCH,BAS,,,
10,7,7/27/18,30,35,,206,0,N,KCH,NSW,,,
10,7,7/27/18,30,35,,206,1,M,NSW,BHC,,,
10,7,7/27/18,30,35,,206,2,T,KCH,BAS,,,
6,7,7/27/18,30,30,,207,0,V,KCH,NSW,,,
6,7,7/27/18,30,30,,207,1,M,NSW,BHC,,,
6,7,7/27/18,30,30,,207,2,M,KCH,BAS,,,
7,7,7/27/18,30,30,,207,0,V,KCH,NSW,,,
7,7,7/27/18,30,30,,207,1,V,NSW,BHC,,,
7,7,7/27/18,30,30,,207,2,V,KCH,BAS,,,
8,7,7/27/18,30,34,,207,0,N,KCH,NSW,,,
8,7,7/27/18,30,34,,207,1,V,NSW,BHC,,,
8,7,7/27/18,30,34,,207,2,S,KCH,BAS,,,
9,7,7/27/18,30,34.5,,207,0,N,KCH,NSW,,,
9,7,7/27/18,30,34.5,,207,1,V,NSW,BHC,,,
9,7,7/27/18,30,34.5,,207,2,M,KCH,BAS,,,
10,7,7/27/18,30,35,,207,0,V,KCH,NSW,,,
10,7,7/27/18,30,35,,207,1,S,NSW,BHC,,,
10,7,7/27/18,30,35,,207,2,T,KCH,BAS,,,
6,7,7/27/18,30,30,,208,0,N,KCH,NSW,,,
6,7,7/27/18,30,30,,208,1,V,NSW,BHC,,,
6,7,7/27/18,30,30,,208,2,N,KCH,BAS,,,
7,7,7/27/18,30,30,,208,0,V,KCH,NSW,,,
7,7,7/27/18,30,30,,208,1,V,NSW,BHC,,,
7,7,7/27/18,30,30,,208,2,N,KCH,BAS,,,
8,7,7/27/18,30,34,,208,0,V,KCH,NSW,,,
8,7,7/27/18,30,34,,208,1,V,NSW,BHC,,,
8,7,7/27/18,30,34,,208,2,S,KCH,BAS,,,
9,7,7/27/18,30,34.5,,208,0,V,KCH,NSW,,,
9,7,7/27/18,30,34.5,,208,1,M,NSW,BHC,,,
9,7,7/27/18,30,34.5,,208,2,M,KCH,BAS,,,
10,7,7/27/18,30,35,,208,0,V,KCH,NSW,,,
10,7,7/27/18,30,35,,208,1,T,NSW,BHC,,,
10,7,7/27/18,30,35,,208,2,T,KCH,BAS,,,
6,7,7/27/18,30,30,,209,0,M,KCH,NSW,,,
6,7,7/27/18,30,30,,209,1,M,NSW,BHC,,,
6,7,7/27/18,30,30,,209,2,S,KCH,BAS,,,
7,7,7/27/18,30,30,,209,0,V,KCH,NSW,,,
7,7,7/27/18,30,30,,209,1,V,NSW,BHC,,,
7,7,7/27/18,30,30,,209,2,V,KCH,BAS,,,
8,7,7/27/18,30,34,,209,0,M,KCH,NSW,,,
8,7,7/27/18,30,34,,209,1,S,NSW,BHC,,,
8,7,7/27/18,30,34,,209,2,T,KCH,BAS,,,
9,7,7/27/18,30,34.5,,209,0,M,KCH,NSW,,,
9,7,7/27/18,30,34.5,,209,1,M,NSW,BHC,,,
9,7,7/27/18,30,34.5,,209,2,T,KCH,BAS,,,
10,7,7/27/18,30,35,,209,0,M,KCH,NSW,,,
10,7,7/27/18,30,35,,209,1,S,NSW,BHC,,,
10,7,7/27/18,30,35,,209,2,T,KCH,BAS,,,
6,7,7/27/18,30,30,,210,0,V,KCH,NSW,,,
6,7,7/27/18,30,30,,210,1,V,NSW,BHC,,,
6,7,7/27/18,30,30,,210,2,S,KCH,BAS,,,
7,7,7/27/18,30,30,,210,0,V,KCH,NSW,,,
7,7,7/27/18,30,30,,210,1,V,NSW,BHC,,,
7,7,7/27/18,30,30,,210,2,M,KCH,BAS,,,
8,7,7/27/18,30,34,,210,0,M,KCH,NSW,,,
8,7,7/27/18,30,34,,210,1,M,NSW,BHC,,,
8,7,7/27/18,30,34,,210,2,S,KCH,BAS,,,
9,7,7/27/18,30,34.5,,210,0,V,KCH,NSW,,,
9,7,7/27/18,30,34.5,,210,1,M,NSW,BHC,,,
9,7,7/27/18,30,34.5,,210,2,S,KCH,BAS,,,
10,7,7/27/18,30,35,,210,0,V,KCH,NSW,,,
10,7,7/27/18,30,35,,210,1,S,NSW,BHC,,,
10,7,7/27/18,30,35,,210,2,T,KCH,BAS,,,
1,7,7/27/18,35,30,,211,0,V,BAS,CAH,,,
1,7,7/27/18,35,30,,211,1,M,KCH,CYP,CMH,,
1,7,7/27/18,35,30,,211,2,M,KCH,BAS,,,
2,7,7/27/18,35,30,,211,0,V,BAS,CAH,,,
2,7,7/27/18,35,30,,211,1,V,KCH,CYP,CMH,,
2,7,7/27/18,35,30,,211,2,V,KCH,BAS,,,
3,7,7/27/18,35,34,,211,0,M,BAS,CAH,,,
3,7,7/27/18,35,34,,211,1,M,KCH,CYP,CMH,,
3,7,7/27/18,35,34,,211,2,S,KCH,BAS,,,
4,7,7/27/18,35,34.5,,211,0,V,BAS,CAH,,,
4,7,7/27/18,35,34.5,,211,1,M,KCH,CYP,CMH,,
4,7,7/27/18,35,34.5,,211,2,M,KCH,BAS,,,
5,7,7/27/18,35,35,,211,0,V,BAS,CAH,,,
5,7,7/27/18,35,35,,211,1,S,KCH,CYP,CMH,,
5,7,7/27/18,35,35,,211,2,S,KCH,BAS,,,
1,7,7/27/18,35,30,,212,0,V,BAS,CAH,,,
1,7,7/27/18,35,30,,212,1,V,KCH,CYP,CMH,,
1,7,7/27/18,35,30,,212,2,V/N,KCH,BAS,,,
2,7,7/27/18,35,30,,212,0,V,BAS,CAH,,,
2,7,7/27/18,35,30,,212,1,V,KCH,CYP,CMH,,
2,7,7/27/18,35,30,,212,2,V,KCH,BAS,,,
3,7,7/27/18,35,34,,212,0,V,BAS,CAH,,,
3,7,7/27/18,35,34,,212,1,V,KCH,CYP,CMH,,
3,7,7/27/18,35,34,,212,2,M,KCH,BAS,,,
4,7,7/27/18,35,34.5,,212,0,N,BAS,CAH,,,
4,7,7/27/18,35,34.5,,212,1,M,KCH,CYP,CMH,,
4,7,7/27/18,35,34.5,,212,2,S,KCH,BAS,,,
5,7,7/27/18,35,35,,212,0,N,BAS,CAH,,,
5,7,7/27/18,35,35,,212,1,S,KCH,CYP,CMH,,
5,7,7/27/18,35,35,,212,2,T,KCH,BAS,,,
1,7,7/27/18,35,30,,213,0,N,BAS,CAH,,,
1,7,7/27/18,35,30,,213,1,V,KCH,CYP,CMH,,
1,7,7/27/18,35,30,,213,2,N,KCH,BAS,,,
2,7,7/27/18,35,30,,213,0,N,BAS,CAH,,,
2,7,7/27/18,35,30,,213,1,V,KCH,CYP,CMH,,
2,7,7/27/18,35,30,,213,2,N,KCH,BAS,,,
3,7,7/27/18,35,34,,213,0,N,BAS,CAH,,,
3,7,7/27/18,35,34,,213,1,M,KCH,CYP,CMH,,
3,7,7/27/18,35,34,,213,2,M,KCH,BAS,,,
4,7,7/27/18,35,34.5,,213,0,N,BAS,CAH,,,
4,7,7/27/18,35,34.5,,213,1,S,KCH,CYP,CMH,,
4,7,7/27/18,35,34.5,,213,2,T,KCH,BAS,,,
5,7,7/27/18,35,35,,213,0,N,BAS,CAH,,,
5,7,7/27/18,35,35,,213,1,T,KCH,CYP,CMH,,
5,7,7/27/18,35,35,,213,2,T,KCH,BAS,,,
1,7,7/27/18,35,30,,214,0,V,BAS,CAH,,,
1,7,7/27/18,35,30,,214,1,V,KCH,CYP,CMH,,
1,7,7/27/18,35,30,,214,2,V,KCH,BAS,,,
2,7,7/27/18,35,30,,214,0,V,BAS,CAH,,,
2,7,7/27/18,35,30,,214,1,V,KCH,CYP,CMH,,
2,7,7/27/18,35,30,,214,2,V,KCH,BAS,,,
3,7,7/27/18,35,34,,214,0,V,BAS,CAH,,,
3,7,7/27/18,35,34,,214,1,M,KCH,CYP,CMH,,
3,7,7/27/18,35,34,,214,2,M,KCH,BAS,,,
4,7,7/27/18,35,34.5,,214,0,V,BAS,CAH,,,
4,7,7/27/18,35,34.5,,214,1,S,KCH,CYP,CMH,,
4,7,7/27/18,35,34.5,,214,2,S,KCH,BAS,,,
5,7,7/27/18,35,35,,214,0,N,BAS,CAH,,,
5,7,7/27/18,35,35,,214,1,S,KCH,CYP,CMH,,
5,7,7/27/18,35,35,,214,2,S,KCH,BAS,,,
1,7,7/27/18,35,30,,215,0,V,BAS,CAH,,,
1,7,7/27/18,35,30,,215,1,V,KCH,CYP,CMH,,
1,7,7/27/18,35,30,,215,2,V,KCH,BAS,,,
2,7,7/27/18,35,30,,215,0,N,BAS,CAH,,,
2,7,7/27/18,35,30,,215,1,V/N,KCH,CYP,CMH,,
2,7,7/27/18,35,30,,215,2,N,KCH,BAS,,,
3,7,7/27/18,35,34,,215,0,M,BAS,CAH,,,
3,7,7/27/18,35,34,,215,1,S,KCH,CYP,CMH,,
3,7,7/27/18,35,34,,215,2,S,KCH,BAS,,,
4,7,7/27/18,35,34.5,,215,0,N,BAS,CAH,,,
4,7,7/27/18,35,34.5,,215,1,S,KCH,CYP,CMH,,
4,7,7/27/18,35,34.5,,215,2,S,KCH,BAS,,,
5,7,7/27/18,35,35,,215,0,M,BAS,CAH,,,
5,7,7/27/18,35,35,,215,1,T,KCH,CYP,CMH,,
5,7,7/27/18,35,35,,215,2,T,KCH,BAS,,,
6,7,7/27/18,35,30,,216,0,N,KCH,NSW,,,
6,7,7/27/18,35,30,,216,1,N,NSW,BHC,,,
6,7,7/27/18,35,30,,216,2,N,KCH,BAS,,,
7,7,7/27/18,35,30,,216,0,V,KCH,NSW,,,
7,7,7/27/18,35,30,,216,1,N,NSW,BHC,,,
7,7,7/27/18,35,30,,216,2,V,KCH,BAS,,,
8,7,7/27/18,35,34,,216,0,V,KCH,NSW,,,
8,7,7/27/18,35,34,,216,1,S,NSW,BHC,,,
8,7,7/27/18,35,34,,216,2,T,KCH,BAS,,,
9,7,7/27/18,35,34.5,,216,0,N,KCH,NSW,,,
9,7,7/27/18,35,34.5,,216,1,M,NSW,BHC,,,
9,7,7/27/18,35,34.5,,216,2,T,KCH,BAS,,,
10,7,7/27/18,35,35,,216,0,N,KCH,NSW,,,
10,7,7/27/18,35,35,,216,1,S,NSW,BHC,,,
10,7,7/27/18,35,35,,216,2,T,KCH,BAS,,,
6,7,7/27/18,35,30,,217,0,N,KCH,NSW,,,
6,7,7/27/18,35,30,,217,1,N,NSW,BHC,,,
6,7,7/27/18,35,30,,217,2,V,KCH,BAS,,,
7,7,7/27/18,35,30,,217,0,N,KCH,NSW,,,
7,7,7/27/18,35,30,,217,1,V,NSW,BHC,,,
7,7,7/27/18,35,30,,217,2,V,KCH,BAS,,,
8,7,7/27/18,35,34,,217,0,V,KCH,NSW,,,
8,7,7/27/18,35,34,,217,1,S,NSW,BHC,,,
8,7,7/27/18,35,34,,217,2,T,KCH,BAS,,,
9,7,7/27/18,35,34.5,,217,0,V,KCH,NSW,,,
9,7,7/27/18,35,34.5,,217,1,T,NSW,BHC,,,
9,7,7/27/18,35,34.5,,217,2,T,KCH,BAS,,,
10,7,7/27/18,35,35,,217,0,N,KCH,NSW,,,
10,7,7/27/18,35,35,,217,1,T,NSW,BHC,,,
10,7,7/27/18,35,35,,217,2,T,KCH,BAS,,,
6,7,7/27/18,35,30,,218,0,N,KCH,NSW,,,
6,7,7/27/18,35,30,,218,1,V,NSW,BHC,,,
6,7,7/27/18,35,30,,218,2,V,KCH,BAS,,,
7,7,7/27/18,35,30,,218,0,N,KCH,NSW,,,
7,7,7/27/18,35,30,,218,1,N,NSW,BHC,,,
7,7,7/27/18,35,30,,218,2,N,KCH,BAS,,,
8,7,7/27/18,35,34,,218,0,N,KCH,NSW,,,
8,7,7/27/18,35,34,,218,1,N,NSW,BHC,,,
8,7,7/27/18,35,34,,218,2,S,KCH,BAS,,,
9,7,7/27/18,35,34.5,,218,0,V,KCH,NSW,,,
9,7,7/27/18,35,34.5,,218,1,M,NSW,BHC,,,
9,7,7/27/18,35,34.5,,218,2,S,KCH,BAS,,,
10,7,7/27/18,35,35,,218,0,N,KCH,NSW,,,
10,7,7/27/18,35,35,,218,1,S,NSW,BHC,,,
10,7,7/27/18,35,35,,218,2,T,KCH,BAS,,,
6,7,7/27/18,35,30,,219,0,V,KCH,NSW,,,
6,7,7/27/18,35,30,,219,1,V,NSW,BHC,,,
6,7,7/27/18,35,30,,219,2,V,KCH,BAS,,,
7,7,7/27/18,35,30,,219,0,M,KCH,NSW,,,
7,7,7/27/18,35,30,,219,1,V,NSW,BHC,,,
7,7,7/27/18,35,30,,219,2,M,KCH,BAS,,,
8,7,7/27/18,35,34,,219,0,M,KCH,NSW,,,
8,7,7/27/18,35,34,,219,1,M,NSW,BHC,,,
8,7,7/27/18,35,34,,219,2,T,KCH,BAS,,,
9,7,7/27/18,35,34.5,,219,0,M,KCH,NSW,,,
9,7,7/27/18,35,34.5,,219,1,S,NSW,BHC,,,
9,7,7/27/18,35,34.5,,219,2,S,KCH,BAS,,,
10,7,7/27/18,35,35,,219,0,M,KCH,NSW,,,
10,7,7/27/18,35,35,,219,1,T,NSW,BHC,,,
10,7,7/27/18,35,35,,219,2,T,KCH,BAS,,,
6,7,7/27/18,35,30,,220,0,N,KCH,NSW,,,
6,7,7/27/18,35,30,,220,1,N,NSW,BHC,,,
6,7,7/27/18,35,30,,220,2,N,KCH,BAS,,,
7,7,7/27/18,35,30,,220,0,N,KCH,NSW,,,
7,7,7/27/18,35,30,,220,1,N,NSW,BHC,,,
7,7,7/27/18,35,30,,220,2,N,KCH,BAS,,,
8,7,7/27/18,35,34,,220,0,N,KCH,NSW,,,
8,7,7/27/18,35,34,,220,1,V,NSW,BHC,,,
8,7,7/27/18,35,34,,220,2,T,KCH,BAS,,,
9,7,7/27/18,35,34.5,,220,0,N,KCH,NSW,,,
9,7,7/27/18,35,34.5,,220,1,V,NSW,BHC,,,
9,7,7/27/18,35,34.5,,220,2,T,KCH,BAS,,,
10,7,7/27/18,35,35,,220,0,V,KCH,NSW,,,
10,7,7/27/18,35,35,,220,1,S,NSW,BHC,,,
10,7,7/27/18,35,35,,220,2,T,KCH,BAS,,,
1,7,7/27/18,31,30,,241,0,V,BAS,CAH,,,
