Tank_Number,Cycle_Number,Collected,Reef,Temperature,Ramp_Started_Day_1,Colony_Number,Day,Score,Scorer_1,Scorer_2,Scorer_3,Notes,Notes2
2,6,7/19/18,40,30,,287,2,N,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,287,0,N,KCH,NSW,,,
3,6,7/19/18,40,33.5,,287,1,N,KCH,BHC,,,
3,6,7/19/18,40,33.5,,287,2,V,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,287,0,N,KCH,NSW,,,
4,6,7/19/18,40,34,,287,1,N,KCH,BHC,,,
4,6,7/19/18,40,34,,287,2,V,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,287,0,N,KCH,NSW,,,
5,6,7/19/18,40,34.5,,287,1,M,KCH,BHC,,,
5,6,7/19/18,40,34.5,,287,2,T,KCH,NSW,BHC,,
1,6,7/19/18,40,30,,288,0,M,KCH,NSW,,,
1,6,7/19/18,40,30,,288,1,M,KCH,NSW,,,
1,6,7/19/18,40,30,,288,2,M,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,288,0,M,KCH,NSW,,,
2,6,7/19/18,40,30,,288,1,M,KCH,BHC,,,
2,6,7/19/18,40,30,,288,2,M,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,288,0,N,KCH,NSW,,,
3,6,7/19/18,40,33.5,,288,1,V,KCH,BHC,,,
3,6,7/19/18,40,33.5,,288,2,M,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,288,0,V,KCH,NSW,,,
4,6,7/19/18,40,34,,288,1,S,KCH,BHC,,,
4,6,7/19/18,40,34,,288,2,T,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,288,0,V,KCH,NSW,,,
5,6,7/19/18,40,34.5,,288,1,S,KCH,BHC,,,
5,6,7/19/18,40,34.5,,288,2,S,KCH,NSW,BHC,,
1,6,7/19/18,40,30,,289,0,V/M,KCH,NSW,,,
1,6,7/19/18,40,30,,289,1,M,KCH,NSW,,,
1,6,7/19/18,40,30,,289,2,M,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,289,0,V,KCH,NSW,,,
2,6,7/19/18,40,30,,289,1,V,KCH,BHC,,,
2,6,7/19/18,40,30,,289,2,V,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,289,0,N,KCH,NSW,,,
3,6,7/19/18,40,33.5,,289,1,N,KCH,BHC,,,
3,6,7/19/18,40,33.5,,289,2,V,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,289,0,N,KCH,NSW,,,
4,6,7/19/18,40,34,,289,1,M,KCH,BHC,,,
4,6,7/19/18,40,34,,289,2,M,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,289,0,N,KCH,NSW,,,
5,6,7/19/18,40,34.5,,289,1,T,KCH,BHC,,,
5,6,7/19/18,40,34.5,,289,2,T,KCH,NSW,BHC,,
1,6,7/19/18,40,30,,290,0,V,KCH,NSW,,,
1,6,7/19/18,40,30,,290,1,V,KCH,NSW,,,
1,6,7/19/18,40,30,,290,2,V,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,290,0,V,KCH,NSW,,,
2,6,7/19/18,40,30,,290,1,V,KCH,BHC,,,
2,6,7/19/18,40,30,,290,2,V,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,290,0,V,KCH,NSW,,,
3,6,7/19/18,40,33.5,,290,1,V,KCH,BHC,,,
3,6,7/19/18,40,33.5,,290,2,V,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,290,0,V,KCH,NSW,,,
4,6,7/19/18,40,34,,290,1,M,KCH,BHC,,,
4,6,7/19/18,40,34,,290,2,M,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,290,0,V,KCH,NSW,,,
5,6,7/19/18,40,34.5,,290,1,S,KCH,BHC,,,
5,6,7/19/18,40,34.5,,290,2,M,KCH,NSW,BHC,,
1,6,7/19/18,41,30,,293,0,V,KCH,NSW,,,
1,6,7/19/18,41,30,,293,1,N,KCH,NSW,,,
1,6,7/19/18,41,30,,293,2,N,KCH,NSW,BHC,,
2,6,7/19/18,41,30,,293,0,M,KCH,NSW,,,
